index	name	abbreviation	color
1	Tuberomammillary_nucleus_ventral_part	TMv	#ff4e56
2	Primary_somatosensory_area_mouth_layer_6b	SSp-m6b	#89cda1
4	Inferior_colliculus	IC	#ff98ff
6	internal_capsule	int	#cccccc
7	Principal_sensory_nucleus_of_the_trigeminal	PSV	#ffaa5f
8	Basic_cell_groups_and_regions	grey	#b0ffff
9	Primary_somatosensory_area_trunk_layer_6a	SSp-tr6a	#73cbcf
10	Superior_colliculus_motor_related_intermediate_gray_layer	SCig	#ffb2f8
12	Interfascicular_nucleus_raph	IF	#ff9efb
14	internal_medullary_lamina_of_the_thalamus	im	#cccccc
15	Parataenial_nucleus	PT	#ff8586
17	Superior_colliculus_motor_related_intermediate_white_layer	SCiw	#ffb2f8
19	Induseum_griseum	IG	#72fe72
23	Anterior_amygdalar_area	AAA	#bad0f8
26	Superior_colliculus_motor_related_deep_gray_layer	SCdg	#ffb2f8
27	Intergeniculate_leaflet_of_the_lateral_geniculate_complex	IGL	#ff8786
30	Periventricular_hypothalamic_nucleus_anterior_part	PVa	#ff4c4e
33	Primary_visual_area_layer_6a	VISp6a	#55a8b2
35	Oculomotor_nucleus	III	#ffa8ff
36	Gustatory_areas_layer_1	GU1	#33b55a
38	Paraventricular_hypothalamic_nucleus	PVH	#ff4c4d
41	posteromedial_visual_area_layer_2/3	VISpm2/3	#00afbf
42	Superior_colliculus_motor_related_deep_white_layer	SCdw	#ffb2f8
50	Precommissural_nucleus	PRC	#ff90ff
56	Nucleus_accumbens	ACB	#a0e8e0
59	Intermediodorsal_nucleus_of_the_thalamus	IMD	#ff90a4
62	medial_longitudinal_fascicle	mlf	#cccccc
63	Paraventricular_hypothalamic_nucleus_descending_division	PVHd	#ff4e5a
64	Anterodorsal_nucleus	AD	#ff8887
66	Lateral_terminal_nucleus_of_the_accessory_optic_tract	LT	#ffb1fd
67	Interstitial_nucleus_of_Cajal	INC	#ff91ff
68	Frontal_pole_layer_1	FRP1	#79a13b
72	Anterodorsal_preoptic_nucleus	ADP	#ff4d51
73	ventricular_systems	VS	#aaaaaa
74	Lateral_visual_area_layer_6a	VISl6a	#45b7c1
78	middle_cerebellar_peduncle	mcp	#cccccc
81	lateral_ventricle	VL	#aaaaaa
83	Inferior_olivary_complex	IO	#ffd4bd
84	Prelimbic_area_layer_6a	PL6a	#96b67f
88	Anterior_hypothalamic_nucleus	AHN	#ff4e51
91	Interposed_nucleus	IP	#f0f052
93	motor_root_of_the_trigeminal_nerve	moV	#cccccc
96	Dorsal_cochlear_nucleus	DCO	#ff9bcd
97	Temporal_association_areas_layer_1	TEa1	#008c6e
100	Interpeduncular_nucleus	IPN	#ff9ef7
101	Ventral_cochlear_nucleus	VCO	#ff9bcd
105	Superior_olivary_complex_medial_part	SOCm	#ffaa5e
106	Inferior_salivatory_nucleus	ISN	#ffd4be
113	Primary_somatosensory_area_lower_limb_layer_2/3	SSp-ll2/3	#00b79b
114	Superior_olivary_complex_lateral_part	SOCl	#ffaa5e
115	Trochlear_nucleus	IV	#ffb2ff
117	optic_chiasm	och	#cccccc
118	Periventricular_hypothalamic_nucleus_intermediate_part	PVi	#ff4c3d
120	Agranular_insular_area_posterior_part_layer_1	AIp1	#009a52
121	Lateral_visual_area_layer_6b	VISl6b	#6bc0cb
122	Superior_olivary_complex_periolivary_region	POR	#ffaa5e
125	optic_tract	opt	#cccccc
126	Periventricular_hypothalamic_nucleus_posterior_part	PVp	#ff4d5c
127	Anteromedial_nucleus	AM	#ff8886
128	Midbrain_reticular_nucleus	MRN	#ff84ff
129	third_ventricle	V3	#aaaaaa
131	Lateral_amygdalar_nucleus	LA	#50ff58
132	Prelimbic_area_layer_6b	PL6b	#a0bb8e
133	Periventricular_hypothalamic_nucleus_preoptic_part	PVpo	#ff4d5d
136	Intermediate_reticular_nucleus	IRN	#ffd4bb
140	cerebral_aqueduct	AQ	#aaaaaa
143	Nucleus_ambiguus_ventral_division	AMBv	#ffd4d4
145	fourth_ventricle	V4	#aaaaaa
146	Pontine_reticular_nucleus	PRNr	#ffac78
147	Locus_ceruleus	LC	#ffac76
148	Gustatory_areas_layer_4	GU4	#6ac17d
149	Paraventricular_nucleus_of_the_thalamus	PVT	#ff8585
153	lateral_recess	V4r	#aaaaaa
155	Lateral_dorsal_nucleus_of_thalamus	LD	#ff8880
156	Dorsal_auditory_area_layer_6a	AUDd6a	#71beb0
158	posterior_commissure	pc	#cccccc
159	Anterior_olfactory_nucleus	AON	#90ffb8
162	Laterodorsal_tegmental_nucleus	LDT	#ffac75
163	Agranular_insular_area_posterior_part_layer_2/3	AIp2/3	#14a05e
164	central_canal_spinal_cord/medulla	c	#aaaaaa
169	Nucleus_prepositus	PRP	#ffd4db
170	Dorsal_part_of_the_lateral_geniculate_complex	LGd	#ff70a1
171	Prelimbic_area_layer_1	PL1	#539642
173	Retrochiasmatic_area	RCH	#ff4f54
177	Nucleus_of_Roller	NR	#ffd4dd
178	Ventral_part_of_the_lateral_geniculate_complex	LGv	#ff8787
180	Gustatory_areas_layer_2/3	GU2/3	#52bb70
181	Nucleus_of_reunions	RE	#ff8584
186	Lateral_habenula	LH	#ff8790
187	Gustatory_areas_layer_5	GU5	#7fc88a
188	Accessory_olfactory_bulb_glomerular_layer	AOBgl	#8ceb9c
189	Rhomboid_nucleus	RH	#ff8084
190	pyramid	py	#cccccc
194	Lateral_hypothalamic_area	LHA	#ff4f51
196	Accessory_olfactory_bulb_granular_layer	AOBgr	#6ecd7e
197	Rostral_linear_nucleus_raph	RL	#ff9ef9
201	Primary_somatosensory_area_barrel_field_layer_2/3	SSp-bfd2/3	#13baab
202	Medial_vestibular_nucleus	MV	#ffd8c9
203	Linear_nucleus_of_the_medulla	LIN	#ffd4bf
204	Accessory_olfactory_bulb_mitral_layer	AOBmi	#82e192
206	Nucleus_raph_magnus	RM	#ffb0c1
207	Area_postrema	AP	#ffb0b2
209	Lateral_vestibular_nucleus	LAV	#ffd6c9
210	Lateral_mammillary_nucleus	LM	#ff4e53
211	Anterior_cingulate_area_dorsal_part_layer_2/3	ACAd2/3	#74af58
214	Red_nucleus	RN	#ff86f9
215	Anterior_pretectal_nucleus	APN	#ffb0f9
217	Superior_vestibular_nucleus	SUV	#ffd4c9
218	Lateral_posterior_nucleus_of_the_thalamus	LP	#ff8782
222	Nucleus_raph_obscurus	RO	#ffb0c2
223	Arcuate_hypothalamic_nucleus	ARH	#ff4c4f
225	Spinal_vestibular_nucleus	SPIV	#ffd4c9
226	Lateral_preoptic_area	LPO	#ff4f52
230	Nucleus_raph_pallidus	RPA	#ffb0c3
231	Anterior_tegmental_nucleus	AT	#ffb1fc
233	Anterolateral_visual_area_layer_5	VISal5	#10b3ca
234	Temporal_association_areas_layer_4	TEa4	#389785
235	Lateral_reticular_nucleus	LRN	#ffd4c1
237	solitary_tract	ts	#cccccc
238	Nucleus_raph_pontis	RPO	#ffac73
243	Dorsal_auditory_area_layer_6b	AUDd6b	#89c6ba
246	Midbrain_reticular_nucleus_retrorubral_area	RR	#ffb2f9
249	Posterior_auditory_area_layer_6a	AUDpo6a	#6fbfb9
250	Lateral_septal_nucleus_caudal_(caudodorsal)_part	LSc	#99ede8
251	Primary_auditory_area_layer_2/3	AUDp2/3	#00a077
252	Dorsal_auditory_area_layer_5	AUDd5	#5bb9a8
255	Anteroventral_nucleus_of_thalamus	AV	#ff8885
257	posteromedial_visual_area_layer_6a	VISpm6a	#5dbcc9
258	Lateral_septal_nucleus_rostral_(rostroventral)_part	LSr	#99ede9
260	Nucleus_of_the_lateral_olfactory_tract_molecular_layer	NLOT1	#a0ffaa
262	Reticular_nucleus_of_the_thalamus	RT	#ff8080
263	Anteroventral_preoptic_nucleus	AVP	#ff4d53
266	Lateral_septal_nucleus_ventral_part	LSv	#99edea
269	Posterolateral_visual_area_layer_2/3	VISpl2/3	#00b5d6
271	Nucleus_sagulum	SAG	#ff98fb
272	Anteroventral_periventricular_nucleus	AVPV	#ff4d54
274	Retrosplenial_area_dorsal_part_layer_6a	RSPd6a	#56a481
278	Striatum-like_amygdalar_nuclei	sAMY	#a0d0e8
279	Retrosplenial_area_lateral_agranular_part_layer_6b	RSPagl6b	#53a58e
280	Barrington's_nucleus	B	#ffae50
281	Anteromedial_visual_area_layer_1	VISam1	#008d8b
286	Suprachiasmatic_nucleus	SCH	#ff4d5e
287	Bed_nucleus_of_the_anterior_commissure	BAC	#a0be98
288	Orbital_area_ventrolateral_part_layer_2/3	ORBvl2/3	#339257
289	Temporal_association_areas_layer_5	TEa5	#52a596
292	Bed_nucleus_of_the_accessory_olfactory_tract	BA	#a0d0e8
296	Anterior_cingulate_area_ventral_part_layer_2/3	ACAv2/3	#83c664
298	Magnocellular_nucleus	MA	#a2d0b0
301	stria_terminalis	st	#cccccc
303	Basolateral_amygdalar_nucleus_anterior_part	BLAa	#51ff53
304	Prelimbic_area_layer_2/3	PL2/3	#79a35f
305	Primary_visual_area_layer_6b	VISp6b	#6badb2
307	Magnocellular_reticular_nucleus	MARN	#ffd4c2
310	Septofimbrial_nucleus	SF	#93efe8
311	Basolateral_amygdalar_nucleus_posterior_part	BLAp	#52ff53
313	Midbrain	MB	#ffc8ff
314	Agranular_insular_area_posterior_part_layer_6a	AIp6a	#57b47c
318	Supragenual_nucleus	SG	#ffae54
319	Basomedial_amygdalar_nucleus	BMA	#50ff54
320	Primary_motor_area_Layer_1	MOp1	#2da14f
321	Subgeniculate_nucleus	SubG	#ff8785
325	Suprageniculate_nucleus	SGN	#ff8382
326	superior_cerebelar_peduncles	scp	#cccccc
328	Agranular_insular_area_dorsal_part_layer_2/3	AId2/3	#5fab61
330	Retrosplenial_area_dorsal_part_layer_6b	RSPd6b	#68aa8e
332	Accessory_supraoptic_group	ASO	#ff4c3e
333	Septohippocampal_nucleus	SH	#8befe8
335	Perirhinal_area_layer_6a	PERI6a	#4fa6a4
338	Subfornical_organ	SFO	#ff4d50
341	supramammillary_decussation	smd	#cccccc
342	Substantia_innominata	SI	#98d0b0
344	Agranular_insular_area_posterior_part_layer_5	AIp5	#3ba56a
347	Subparaventricular_zone	SBPV	#ff4d50
350	Subceruleus_nucleus	SLC	#ffac72
351	Bed_nuclei_of_the_stria_terminalis	BST	#a0bea0
354	Medulla	MY	#ffa0b0
355	Agranular_insular_area_posterior_part_layer_6b	AIp6b	#6cba89
356	Preparasubthalamic_nucleus	PST	#ff4f50
358	Sublaterodorsal_nucleus	SLD	#ffac71
362	Mediodorsal_nucleus_of_thalamus	MD	#ff90a3
363	Prelimbic_area_layer_5	PL5	#8cb272
364	Parasubthalamic_nucleus	PSTN	#ff4f50
366	Submedial_nucleus_of_the_thalamus	SMT	#ff90a1
368	Perirhinal_area_layer_6b	PERI6b	#63abad
372	Infracerebellar_nucleus	ICB	#ffd4db
374	Substantia_nigra_compact_part	SNc	#ff9ef8
377	Posterolateral_visual_area_layer_6a	VISpl6a	#6ecde2
380	cuneate_fascicle	cuf	#cccccc
381	Substantia_nigra_reticular_part	SNr	#ffb2f7
382	Field_CA1	CA1	#7aff79
388	gracile_fascicle	grf	#cccccc
390	Supraoptic_nucleus	SO	#ff4c3c
393	Posterolateral_visual_area_layer_6b	VISpl6b	#6bcdec
397	ventral_tegmental_decussation	vtd	#cccccc
401	Anteromedial_visual_area_layer_4	VISam4	#008f98
403	Medial_amygdalar_nucleus	MEA	#b0d0f8
412	Orbital_area_lateral_part_layer_2/3	ORBl2/3	#3f9457
413	vestibular_nerve	vVIIIn	#cccccc
414	Subparafascicular_nucleus_magnocellular_part	SPFm	#ff6fa5
421	Lateral_visual_area_layer_1	VISl1	#009f9e
422	Subparafascicular_nucleus_parvicellular_part	SPFp	#ff6ea5
423	Field_CA2	CA2	#7aff78
427	Ectorhinal_area/Layer_2/3	ECT2/3	#139385
429	Spinal_nucleus_of_the_trigeminal_caudal_part	SPVC	#ffb0b7
430	Retrosplenial_area_ventral_part_layer_2/3	RSPv2/3	#3d9568
433	Anteromedial_visual_area_layer_5	VISam5	#009ea3
434	Retrosplenial_area_dorsal_part_layer_2/3	RSPd2/3	#229163
436	columns_of_the_fornix	fx	#cccccc
437	Spinal_nucleus_of_the_trigeminal_interpolar_part	SPVI	#ffb0b8
440	Orbital_area_lateral_part_layer_6a	ORBl6a	#6ba874
441	Anteromedial_visual_area_layer_6b	VISam6b	#62acb5
442	Retrosplenial_area_dorsal_part_layer_1	RSPd1	#008b59
443	dorsal_hippocampal_commissure	dhc	#cccccc
445	Spinal_nucleus_of_the_trigeminal_oral_part	SPVO	#ffb0b6
448	Orbital_area_lateral_part_layer_1	ORBl1	#258f45
449	ventral_hippocampal_commissure	vhc	#cccccc
450	Primary_somatosensory_area_upper_limb_layer_1	SSp-ul1	#00ae67
451	Basolateral_amygdalar_nucleus_ventral_part	BLAv	#49ff53
452	Median_preoptic_nucleus	MEPO	#ff4d56
456	Posterior_auditory_area_layer_6b	AUDpo6b	#88c7c3
460	Midbrain_trigeminal_nucleus	MEV	#ff98fe
461	Primary_somatosensory_area_trunk_layer_6b	SSp-tr6b	#9cd8da
463	Field_CA3	CA3	#7aff77
466	alveus	alv	#cccccc
469	posteromedial_visual_area_layer_6b	VISpm6b	#77c2ca
470	Subthalamic_nucleus	STN	#ff4f55
475	Medial_geniculate_complex	MG	#ff70a2
477	Striatum	STR	#a0c8e8
478	Primary_somatosensory_area_lower_limb_layer_6a	SSp-ll6a	#77cabc
482	brachium_of_the_inferior_colliculus	bic	#cccccc
483	Medial_habenula	MH	#ff8690
484	Orbital_area_medial_part_layer_1	ORBm1	#669b3f
488	Orbital_area_lateral_part_layer_6b	ORBl6b	#80af80
491	Medial_mammillary_nucleus	MM	#ff4e54
494	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_a	SCig-a	#ffb2f8
501	posteromedial_visual_area_layer_4	VISpm4	#00b3c8
502	Subiculum	SUB	#80ff97
503	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_b	SCig-b	#ffb2f8
507	Main_olfactory_bulb	MOB	#a0ffab
510	Primary_somatosensory_area_lower_limb_layer_6b	SSp-ll6b	#91d3c6
511	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_c	SCig-c	#ffb2f8
515	Medial_preoptic_nucleus	MPN	#ff4e57
520	Ventral_auditory_area_layer_6a	AUDv6a	#74bea0
523	Medial_preoptic_area	MPO	#ff4d57
525	Supramammillary_nucleus	SUM_	#ff4e55
527	Dorsal_auditory_area_layer_1	AUDd1	#009d7d
530	dorsal_fornix	df	#cccccc
531	Medial_pretectal_area	MPT	#ffb0f8
534	Supratrigeminal_nucleus	SUT	#ffae52
536	Central_amygdalar_nucleus	CEA	#abd0f8
540	Perirhinal_area_layer_1	PERI1	#008d85
542	Retrosplenial_area_ventral_part_layer_1	RSPv1	#008a4f
549	Thalamus	TH	#ff7080
556	Infralimbic_area_layer_2/3	ILA2/3	#32925d
558	Primary_somatosensory_area_nose_layer_1	SSp-n1	#00af73
564	Medial_septal_nucleus	MS	#76e0b0
565	posteromedial_visual_area_layer_5	VISpm5	#3fb8c9
566	Postpiriform_transition_area	TR	#a0ffa6
573	Lateral_visual_area_layer_4	VISl4	#00a1ad
574	Tegmental_reticular_nucleus	TRN	#ffae51
575	Central_lateral_nucleus_of_the_thalamus	CL	#ff8784
576	Accessory_facial_motor_nucleus	ACVII	#ffd4eb
577	Primary_somatosensory_area_upper_limb_layer_4	SSp-ul4	#4fbc85
580	Nucleus_of_the_brachium_of_the_inferior_colliculus	NB	#ff98fd
581	Triangular_nucleus_of_septum	TRS	#80e0b0
582	Orbital_area_medial_part_layer_2/3	ORBm2/3	#83a65f
583	Claustrum	CLA	#50ff55
587	Nucleus_of_Darkschewitsch	ND	#ff92ff
588	Anterior_cingulate_area_ventral_part_layer_1	ACAv1	#6dbf55
589	Taenia_tecta	TT	#a0ffa0
590	Retrosplenial_area_ventral_part_layer_6a	RSPv6a	#60a681
591	Central_linear_nucleus_raph	CLI	#ff9efd
593	Primary_visual_area_layer_1	VISp1	#009399
595	fasciculus_retroflexus	fr	#cccccc
596	Diagonal_band_nucleus	NDB	#8ae0b0
598	Ventral_auditory_area_layer_6b	AUDv6b	#7fc1a8
599	Central_medial_nucleus_of_the_thalamus	CM	#ff8684
600	Dorsal_auditory_area_layer_2/3	AUDd2/3	#00a389
601	Anterolateral_visual_area_layer_6a	VISal6a	#69c1d4
603	fimbria	fi	#cccccc
604	Nucleus_incertus	NI	#ffac74
608	Orbital_area_ventrolateral_part_layer_6a	ORBvl6a	#61a674
609	Subparafascicular_area	SPA	#ff80b1
